ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
PE,2003/09/30,11:19:02 +2:00 GMT,Internetowe us³ugi informacyjne,0.0.0.0:80,N/A
PE,2003/09/30,11:19:02 +2:00 GMT,SQL Server Windows NT,0.0.0.0:1434,N/A
FWIN,2003/09/30,11:19:02 +2:00 GMT,192.168.31.93:0,192.168.31.2:0,ICMP (type:8/subtype:0)
PE,2003/09/30,11:19:26 +2:00 GMT,SQL Server Service Manager,255.255.255.255:1434,N/A
PE,2003/09/30,11:21:54 +2:00 GMT,Internet Explorer,127.0.0.1:1042,N/A
PE,2003/09/30,11:21:56 +2:00 GMT,Us³ugi i aplikacja Kontroler,192.168.11.1:53,N/A
FWIN,2003/09/30,11:23:36 +2:00 GMT,192.168.31.104:1681,192.168.31.2:139,TCP (flags:S)
FWOUT,2003/09/30,11:24:08 +2:00 GMT,192.168.31.2:138,192.168.31.104:138,UDP
PE,2003/09/30,11:24:38 +2:00 GMT,Microsoft Outlook,192.168.11.1:53,N/A
FWOUT,2003/09/30,11:26:34 +2:00 GMT,192.168.31.2:138,192.168.31.51:138,UDP
FWIN,2003/09/30,11:26:42 +2:00 GMT,212.111.146.202:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,11:27:26 +2:00 GMT,212.107.57.40:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,11:28:48 +2:00 GMT,212.109.110.2:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,11:30:08 +2:00 GMT,212.111.172.46:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,11:39:02 +2:00 GMT,192.168.31.93:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,11:40:52 +2:00 GMT,212.110.19.137:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,11:41:56 +2:00 GMT,212.111.138.166:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,11:51:42 +2:00 GMT,212.107.59.107:0,192.168.31.2:0,ICMP (type:8/subtype:0)
PE,2003/09/30,11:56:00 +2:00 GMT,Mened¿er Instalatora programu Internet Explorer,127.0.0.1:1077,N/A
FWIN,2003/09/30,12:04:30 +2:00 GMT,212.109.31.254:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,12:04:56 +2:00 GMT,212.107.205.146:0,192.168.31.2:0,ICMP (type:8/subtype:0)
PE,2003/09/30,12:05:42 +2:00 GMT,Internet Explorer,127.0.0.1:1035,N/A
FWIN,2003/09/30,12:06:06 +2:00 GMT,212.107.56.183:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,12:07:52 +2:00 GMT,212.112.6.250:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,12:13:04 +2:00 GMT,212.112.0.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,12:13:22 +2:00 GMT,212.111.52.58:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,12:14:26 +2:00 GMT,192.168.31.106:138,192.168.31.2:138,UDP
PE,2003/09/30,12:22:10 +2:00 GMT,InstallDriver Module,0.0.0.0:80,N/A
PE,2003/09/30,12:24:20 +2:00 GMT,lmtools.exe,192.168.11.1:53,N/A
FWIN,2003/09/30,12:26:58 +2:00 GMT,192.168.34.5:138,192.168.31.2:138,UDP
PE,2003/09/30,12:28:24 +2:00 GMT,lmgr326b,192.168.11.1:53,N/A
PE,2003/09/30,12:28:26 +2:00 GMT,lmgr326b,0.0.0.0:27000,N/A
PE,2003/09/30,12:28:28 +2:00 GMT,lmgr326b,192.168.11.1:53,N/A
PE,2003/09/30,12:28:28 +2:00 GMT,lmgr326b,0.0.0.0:1070,N/A
FWIN,2003/09/30,12:38:48 +2:00 GMT,192.168.31.93:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWOUT,2003/09/30,12:39:40 +2:00 GMT,192.168.31.2:1080,192.168.31.114:139,TCP (flags:S)
FWOUT,2003/09/30,12:40:42 +2:00 GMT,192.168.31.2:1083,192.168.31.114:139,TCP (flags:S)
FWIN,2003/09/30,12:40:54 +2:00 GMT,212.109.31.9:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,12:46:08 +2:00 GMT,212.111.169.209:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,12:53:46 +2:00 GMT,212.107.58.195:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,12:57:28 +2:00 GMT,212.107.205.148:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,12:58:02 +2:00 GMT,212.110.76.210:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,12:58:14 +2:00 GMT,212.111.168.226:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:02:52 +2:00 GMT,212.107.59.107:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:03:26 +2:00 GMT,192.168.31.106:138,192.168.31.2:138,UDP
FWIN,2003/09/30,13:04:00 +2:00 GMT,212.110.84.6:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:04:20 +2:00 GMT,212.111.172.123:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:06:46 +2:00 GMT,212.107.56.132:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:08:16 +2:00 GMT,212.107.41.29:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWOUT,2003/09/30,13:13:10 +2:00 GMT,192.168.31.2:1111,192.168.31.93:139,TCP (flags:S)
FWIN,2003/09/30,13:13:12 +2:00 GMT,192.168.42.128:3082,192.168.31.2:135,TCP (flags:S)
FWOUT,2003/09/30,13:13:54 +2:00 GMT,192.168.31.2:1114,192.168.31.93:139,TCP (flags:S)
FWIN,2003/09/30,13:14:02 +2:00 GMT,212.111.146.21:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:16:26 +2:00 GMT,212.109.53.154:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:18:02 +2:00 GMT,212.109.5.2:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:18:22 +2:00 GMT,192.168.31.70:1879,192.168.31.2:135,TCP (flags:S)
PE,2003/09/30,13:22:30 +2:00 GMT,Generic Host Process for Win32 Services,192.168.11.1:53,N/A
FWIN,2003/09/30,13:25:22 +2:00 GMT,212.107.59.198:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:26:54 +2:00 GMT,212.112.189.11:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:27:48 +2:00 GMT,212.106.65.119:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:30:24 +2:00 GMT,212.109.110.2:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:37:56 +2:00 GMT,212.109.31.9:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:42:40 +2:00 GMT,192.168.31.76:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWOUT,2003/09/30,13:44:42 +2:00 GMT,192.168.31.2:1157,192.168.31.93:139,TCP (flags:S)
FWOUT,2003/09/30,13:45:24 +2:00 GMT,192.168.31.2:1158,192.168.31.93:139,TCP (flags:S)
FWIN,2003/09/30,13:46:26 +2:00 GMT,192.168.31.98:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:46:30 +2:00 GMT,192.168.31.98:1055,192.168.31.2:445,TCP (flags:S)
FWIN,2003/09/30,13:46:34 +2:00 GMT,192.168.31.98:1057,192.168.31.2:445,TCP (flags:S)
FWIN,2003/09/30,13:48:30 +2:00 GMT,212.111.52.58:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:49:48 +2:00 GMT,212.109.31.254:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:51:18 +2:00 GMT,212.111.169.190:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:52:58 +2:00 GMT,212.111.138.235:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:53:40 +2:00 GMT,192.168.31.72:1369,192.168.31.2:135,TCP (flags:S)
FWIN,2003/09/30,13:53:54 +2:00 GMT,212.107.57.145:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,13:54:30 +2:00 GMT,212.111.173.38:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,14:01:36 +2:00 GMT,192.168.31.76:1080,192.168.31.2:27001,TCP (flags:S)
FWIN,2003/09/30,14:01:36 +2:00 GMT,192.168.31.76:1081,192.168.31.2:27002,TCP (flags:S)
FWIN,2003/09/30,14:01:36 +2:00 GMT,192.168.31.76:1082,192.168.31.2:27003,TCP (flags:S)
FWIN,2003/09/30,14:01:36 +2:00 GMT,192.168.31.76:1083,192.168.31.2:27004,TCP (flags:S)
FWIN,2003/09/30,14:01:36 +2:00 GMT,192.168.31.76:1084,192.168.31.2:27005,TCP (flags:S)
FWIN,2003/09/30,14:01:36 +2:00 GMT,192.168.31.76:1085,192.168.31.2:27006,TCP (flags:S)
FWIN,2003/09/30,14:01:36 +2:00 GMT,192.168.31.76:1086,192.168.31.2:27007,TCP (flags:S)
FWIN,2003/09/30,14:01:38 +2:00 GMT,192.168.31.76:1087,192.168.31.2:27008,TCP (flags:S)
FWIN,2003/09/30,14:01:38 +2:00 GMT,192.168.31.76:1088,192.168.31.2:27009,TCP (flags:S)
FWIN,2003/09/30,14:02:02 +2:00 GMT,192.168.31.76:0,192.168.31.2:0,ICMP (type:8/subtype:0)
PE,2003/09/30,14:03:58 +2:00 GMT,Polecenie TCP/IP Ping,192.168.31.1:0,N/A
FWIN,2003/09/30,14:04:34 +2:00 GMT,212.107.41.91:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,14:07:20 +2:00 GMT,212.107.56.204:0,192.168.31.2:0,ICMP (type:8/subtype:0)
PE,2003/09/30,14:09:28 +2:00 GMT,lmgrd.exe,192.168.11.1:53,N/A
PE,2003/09/30,14:09:32 +2:00 GMT,lmgrd.exe,0.0.0.0:27001,N/A
PE,2003/09/30,14:09:34 +2:00 GMT,mathsoft.exe,192.168.11.1:53,N/A
PE,2003/09/30,14:09:36 +2:00 GMT,mathsoft.exe,0.0.0.0:1203,N/A
FWIN,2003/09/30,14:09:52 +2:00 GMT,212.107.37.205:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,14:15:40 +2:00 GMT,212.107.58.195:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,14:17:32 +2:00 GMT,4.18.45.60:2110,192.168.31.2:1080,TCP (flags:S)
FWIN,2003/09/30,14:18:16 +2:00 GMT,212.110.77.105:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,14:25:42 +2:00 GMT,212.109.31.9:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,14:28:46 +2:00 GMT,212.107.56.132:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,14:36:10 +2:00 GMT,212.110.65.7:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,14:43:28 +2:00 GMT,212.112.0.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,14:48:26 +2:00 GMT,212.107.205.148:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,14:53:48 +2:00 GMT,212.109.5.67:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,14:56:10 +2:00 GMT,212.111.172.171:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,15:06:16 +2:00 GMT,212.111.146.171:0,192.168.31.2:0,ICMP (type:8/subtype:0)
PE,2003/09/30,15:08:40 +2:00 GMT,Klient autoaktualizacji Windows Update,192.168.11.1:53,N/A
FWIN,2003/09/30,15:09:44 +2:00 GMT,212.110.24.222:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,15:24:04 +2:00 GMT,212.106.65.119:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,15:26:18 +2:00 GMT,212.109.31.254:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,15:27:04 +2:00 GMT,212.109.53.154:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,15:32:14 +2:00 GMT,212.110.66.61:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,15:32:28 +2:00 GMT,212.109.31.9:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,15:32:50 +2:00 GMT,212.109.29.98:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,15:35:50 +2:00 GMT,212.107.58.20:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,15:42:38 +2:00 GMT,212.110.19.137:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,15:43:58 +2:00 GMT,212.111.173.15:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,15:47:12 +2:00 GMT,65.28.94.35:1057,192.168.31.2:17300,TCP (flags:S)
FWIN,2003/09/30,15:48:40 +2:00 GMT,212.106.2.36:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,16:10:22 +2:00 GMT,212.107.51.63:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,16:30:08 +2:00 GMT,212.109.31.9:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,16:35:00 +2:00 GMT,212.109.5.7:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,16:39:04 +2:00 GMT,212.111.168.6:0,192.168.31.2:0,ICMP (type:8/subtype:0)
PE,2003/09/30,16:41:20 +2:00 GMT,Us³ugi i aplikacja Kontroler,192.168.11.1:53,N/A
FWIN,2003/09/30,16:50:04 +2:00 GMT,212.109.110.2:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,16:54:02 +2:00 GMT,212.112.0.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,16:54:24 +2:00 GMT,212.112.189.11:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,16:58:34 +2:00 GMT,212.109.31.254:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:04:06 +2:00 GMT,212.107.41.49:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:06:16 +2:00 GMT,212.109.7.49:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:21:18 +2:00 GMT,212.106.65.119:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:25:32 +2:00 GMT,212.109.53.154:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:26:28 +2:00 GMT,212.109.99.107:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:27:32 +2:00 GMT,212.109.31.9:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:28:36 +2:00 GMT,212.111.146.158:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:31:14 +2:00 GMT,212.106.157.30:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:35:30 +2:00 GMT,212.107.59.39:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:39:26 +2:00 GMT,212.107.41.223:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:39:38 +2:00 GMT,212.111.146.215:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:39:48 +2:00 GMT,212.110.64.53:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:41:22 +2:00 GMT,212.106.68.92:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:41:46 +2:00 GMT,212.111.147.238:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:44:44 +2:00 GMT,212.106.68.37:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:45:18 +2:00 GMT,212.107.56.95:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:46:04 +2:00 GMT,212.106.68.171:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:47:10 +2:00 GMT,212.109.29.143:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:50:52 +2:00 GMT,82.160.4.183:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:51:28 +2:00 GMT,212.111.146.197:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:56:50 +2:00 GMT,212.107.41.29:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/09/30,17:59:46 +2:00 GMT,192.168.21.1:138,192.168.31.2:138,UDP
