ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2003/10/06,11:33:06 +2:00 GMT,212.110.176.239:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,11:34:02 +2:00 GMT,212.111.52.58:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,11:37:28 +2:00 GMT,212.110.42.41:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,11:37:34 +2:00 GMT,212.107.59.191:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,11:40:26 +2:00 GMT,218.167.172.108:4458,192.168.31.2:17300,TCP (flags:S)
FWIN,2003/10/06,11:44:36 +2:00 GMT,195.167.111.31:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,11:53:06 +2:00 GMT,192.168.33.208:4830,192.168.31.2:135,TCP (flags:S)
FWIN,2003/10/06,11:57:16 +2:00 GMT,212.109.29.204:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:01:50 +2:00 GMT,4.38.108.56:1164,192.168.31.2:1080,TCP (flags:S)
FWIN,2003/10/06,12:03:14 +2:00 GMT,212.106.68.150:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:12:18 +2:00 GMT,212.107.205.146:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:12:54 +2:00 GMT,212.109.29.192:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:14:26 +2:00 GMT,211.40.36.129:2273,192.168.31.2:17300,TCP (flags:S)
FWIN,2003/10/06,12:15:48 +2:00 GMT,212.106.68.170:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:19:16 +2:00 GMT,212.109.7.49:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:19:38 +2:00 GMT,212.107.59.175:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:21:02 +2:00 GMT,212.109.31.9:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:22:28 +2:00 GMT,212.109.110.2:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:23:50 +2:00 GMT,212.107.57.192:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:26:42 +2:00 GMT,212.111.147.205:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:30:40 +2:00 GMT,212.109.123.4:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:34:02 +2:00 GMT,212.107.41.230:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:38:06 +2:00 GMT,217.233.185.45:1851,192.168.31.2:17300,TCP (flags:S)
FWIN,2003/10/06,12:39:30 +2:00 GMT,212.110.19.137:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:41:08 +2:00 GMT,212.112.0.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:43:52 +2:00 GMT,212.107.59.39:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:44:12 +2:00 GMT,212.111.146.239:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,12:44:38 +2:00 GMT,212.107.57.152:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:08:42 +2:00 GMT,212.109.31.9:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:19:10 +2:00 GMT,212.110.70.68:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:22:50 +2:00 GMT,212.111.168.33:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:32:50 +2:00 GMT,212.109.53.154:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:34:14 +2:00 GMT,212.107.205.148:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:34:18 +2:00 GMT,212.106.68.191:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:34:30 +2:00 GMT,212.110.42.41:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:36:42 +2:00 GMT,62.6.117.53:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:38:18 +2:00 GMT,212.100.197.30:1051,192.168.31.2:554,TCP (flags:S)
FWIN,2003/10/06,13:42:18 +2:00 GMT,212.112.189.11:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:44:26 +2:00 GMT,212.106.158.98:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:45:46 +2:00 GMT,192.168.42.194:3084,192.168.31.2:135,TCP (flags:S)
FWIN,2003/10/06,13:49:30 +2:00 GMT,212.109.5.28:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:49:32 +2:00 GMT,212.109.29.29:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:50:10 +2:00 GMT,212.107.59.175:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:50:10 +2:00 GMT,212.109.110.2:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:51:46 +2:00 GMT,212.107.57.192:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:54:48 +2:00 GMT,212.111.147.29:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,13:57:28 +2:00 GMT,212.106.68.192:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,14:05:52 +2:00 GMT,212.109.5.110:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,14:09:20 +2:00 GMT,212.108.130.2:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,14:09:56 +2:00 GMT,212.111.172.209:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,14:11:30 +2:00 GMT,212.109.31.254:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/06,14:11:42 +2:00 GMT,212.109.7.49:0,192.168.31.2:0,ICMP (type:8/subtype:0)
